ejercicio,fecha_inicio,fecha_termino,tipo_tramite_servicio,nombre_tramite_servicio,poblacion_objetivo,modalidad_tramite,hipervinculo_tramite,requisitos,contacto_tramite,ubicación,fecha_actualizacion
2026,17/02/2026,28/02/2026,Servicio ,Afiliacion a Hecho en Nuevo Leon,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/afiliacionAHechoEnNuevoLeon,"Elaborar transformar o envasar un producto dentro del Estado de Nuevo Leon
Llevar muestra de su producto
Llenar el formato de afiliacion",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Asesoria en Comercio Exterior,Personas en General,Presencial ,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaEnComercioExterior,"Ser empresa establecida en Nuevo Leon
Manifestar via correo electronico oficio o entrevista el interes en la asesoria para exportar",Direccion de Inversion,Torre Administrativa en Calle Washington numero 2000 piso 13 colonia Obrera en el Municipio de Monterrey Nuevo Leon,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Asesoria para Apertura y Formalización de Negocios,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaParaAperturaYFormalizacionDeNegocios,No se establecen requisitos para brindar asesoría,Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Asesoria para la Busqueda Fonetica y Registro de Marcas,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaParaBusquedaFoneticaYRegistroDeMarcas,"Recabar formatos de registro de marca y comprobante de pago proporcionado por el Centro de Atencion Empresarial
Logotipo o Diseño de la marca
Acta constitutiva
Poder Notarial
Identificacion oficial",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Constitucion de Sociedad Micro Industrial,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/constitucionDeSociedadMicroIndustrial,"Identificacion Oficial
Acta de Nacimiento
Tener como actividad economica la elaboracion fabricacion transformacion y o diseño de un producto final
Objetivo principal que va a tener la sociedad
Identificacion oficial
Comprobante de domicilio",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Consultoria y Capacitacion Empresarial,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/consultoriaYCapacitacionEmpresarial,Plan de negocio o autodiagnostico empresarial,Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Fortalecimiento al Desarrollo Economico de las Mujeres,Personas en General,Presencial / En linea,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/fortalecimientoAlDesarrolloEconomicoDeLasMujeres,"Plan de negocio o autodiagnostico empresarial
En caso de ser mujer emprendedora, tener un proyecto o idea de emprendimiento
En el caso de convocatorias o invitacion a alguna de las actividades del servicio se considerarán los requisitos del mismo",Direccion de Fomento a la Mujer,Torre Administrativa en Calle Washington numero 2000 piso 13 colonia Obrera en el Municipio de Monterrey Nuevo Leon,17/02/2026
2026,17/02/2026,28/02/2026,Servicio ,Programa de Apoyo al Fortalecimiento de las Mipymes,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/programaDeApoyoAlFortalecimientoDeLasMipymes,"Acudir a las oficinas
Identificación oficial
Comprobante de Domicilio",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,17/02/2026
2025,01/01/2025,31/01/2025,Servicio ,Afiliacion a Hecho en Nuevo Leon,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/afiliacionAHechoEnNuevoLeon,"Elaborar transformar o envasar un producto dentro del Estado de Nuevo Leon
Llevar muestra de su producto
Llenar el formato de afiliacion",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Asesoria en Comercio Exterior,Personas en General,Presencial ,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaEnComercioExterior,"Ser empresa establecida en Nuevo Leon
Manifestar via correo electronico oficio o entrevista el interes en la asesoria para exportar",Direccion de Inversion,Torre Administrativa en Calle Washington numero 2000 piso 13 colonia Obrera en el Municipio de Monterrey Nuevo Leon,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Asesoria para Apertura y Formalización de Negocios,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaParaAperturaYFormalizacionDeNegocios,No se establecen requisitos para brindar asesoría,Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Asesoria para la Busqueda Fonetica y Registro de Marcas,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/asesoriaParaBusquedaFoneticaYRegistroDeMarcas,"Recabar formatos de registro de marca y comprobante de pago proporcionado por el Centro de Atencion Empresarial
Logotipo o Diseño de la marca
Acta constitutiva
Poder Notarial
Identificacion oficial",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Constitucion de Sociedad Micro Industrial,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/constitucionDeSociedadMicroIndustrial,"Identificacion Oficial
Acta de Nacimiento
Tener como actividad economica la elaboracion fabricacion transformacion y o diseño de un producto final
Objetivo principal que va a tener la sociedad
Identificacion oficial
Comprobante de domicilio",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Consultoria y Capacitacion Empresarial,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/consultoriaYCapacitacionEmpresarial,Plan de negocio o autodiagnostico empresarial,Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Fortalecimiento al Desarrollo Economico de las Mujeres,Personas en General,Presencial / En linea,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/fortalecimientoAlDesarrolloEconomicoDeLasMujeres,"Plan de negocio o autodiagnostico empresarial
En caso de ser mujer emprendedora, tener un proyecto o idea de emprendimiento
En el caso de convocatorias o invitacion a alguna de las actividades del servicio se considerarán los requisitos del mismo",Direccion de Fomento a la Mujer,Torre Administrativa en Calle Washington numero 2000 piso 13 colonia Obrera en el Municipio de Monterrey Nuevo Leon,31/01/2025
2025,01/01/2025,31/01/2025,Servicio ,Programa de Apoyo al Fortalecimiento de las Mipymes,Personas en General,Presencial,https://nlinea.nl.gob.mx/modules/ventanillaDigital/procedures/programaDeApoyoAlFortalecimientoDeLasMipymes,"Acudir a las oficinas
Identificación oficial
Comprobante de Domicilio",Direccion de Fomento y Apoyo a Mipyme,Edificio Elizondo Paez Av 5 de mayo numero 521 numero interior 521 piso PB,31/01/2025
